pair,model_1,model_2,scenario,condition,episode_idx,correct,final_choice,n_turns,guide_goal_failure,guide_says_leave,no_leave,null_choice,ambiguous_leave,substring_match,prompt_leakage,cascade_leakage,repetitive_loop,max_turns_hit,single_word_seeker,multi_leave,ava_parroting,parenthetical_aside,meta_commentary,tier1_count,tier2_count,tier3_count,any_quality_issue,measurement_suspect
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,phone_table_couch,asym_coop,19,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,6,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,key_in_boxes,asym_coop,1,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,5,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,phone_table_couch,asym_adv,20,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,6,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,phone_table_couch,conflict_coop,21,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,6,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,phone_table_couch,conflict_adv,22,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,5,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,phone_table_couch,mutual_incoh,23,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,6,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,book_shelf_bag,mutual_coop,24,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,6,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,book_shelf_bag,asym_coop,25,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,6,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,book_shelf_bag,asym_adv,26,0,,16,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,4,0,1,1
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,book_shelf_bag,conflict_coop,27,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,6,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,book_shelf_bag,conflict_adv,28,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,6,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,book_shelf_bag,mutual_incoh,29,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,5,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,key_in_boxes,asym_adv,2,0,blue box,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,glasses_counter_shelf,mutual_coop,30,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,6,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,glasses_counter_shelf,asym_coop,31,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,5,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,glasses_counter_shelf,asym_adv,32,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,6,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,glasses_counter_shelf,conflict_coop,33,0,,16,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,5,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,glasses_counter_shelf,conflict_adv,34,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,6,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,glasses_counter_shelf,mutual_incoh,35,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,6,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,hat_hook_chair,mutual_coop,36,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,6,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,key_in_boxes,conflict_coop,3,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,6,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,key_in_boxes,conflict_adv,4,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,5,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,key_in_boxes,mutual_incoh,5,0,,16,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,6,0,1,1
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,wallet_desk_drawer,mutual_coop,6,0,,16,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,7,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,wallet_desk_drawer,asym_coop,7,0,,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,wallet_desk_drawer,asym_adv,8,0,,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,1
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,wallet_desk_drawer,conflict_coop,9,0,,14,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,4,0,1,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,key_in_boxes,mutual_coop,0,1,red box,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,flashlight_drawer_shelf,conflict_adv,100,0,shelf,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,flashlight_drawer_shelf,mutual_incoh,101,1,drawer,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,scissors_cabinet_desk,mutual_coop,102,0,cabinet,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,scissors_cabinet_desk,asym_coop,103,0,,16,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,4,0,1,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,scissors_cabinet_desk,asym_adv,104,1,desk,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,scissors_cabinet_desk,conflict_coop,105,0,cabinet,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,scissors_cabinet_desk,conflict_adv,106,1,desk,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,scissors_cabinet_desk,mutual_incoh,107,1,desk,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,toy_bin_rug,mutual_coop,108,0,,16,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,4,0,1,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,toy_bin_rug,asym_coop,109,1,bin,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,wallet_desk_drawer,conflict_adv,10,1,drawer,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,toy_bin_rug,asym_adv,110,1,bin,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,toy_bin_rug,conflict_coop,111,0,rug,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,toy_bin_rug,conflict_adv,112,1,bin,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,toy_bin_rug,mutual_incoh,113,0,rug,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,watch_dresser_nightstand,mutual_coop,114,0,,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,watch_dresser_nightstand,asym_coop,115,0,dresser,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,watch_dresser_nightstand,asym_adv,116,0,,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,watch_dresser_nightstand,conflict_coop,117,0,dresser,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,watch_dresser_nightstand,conflict_adv,118,0,dresser,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,watch_dresser_nightstand,mutual_incoh,119,1,nightstand,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,wallet_desk_drawer,mutual_incoh,11,1,drawer,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,candle_mantle_table,mutual_coop,120,0,,16,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,4,0,1,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,candle_mantle_table,asym_coop,121,0,,16,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,candle_mantle_table,asym_adv,122,1,mantle,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,candle_mantle_table,conflict_coop,123,0,table,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,candle_mantle_table,conflict_adv,124,1,mantle,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,candle_mantle_table,mutual_incoh,125,1,mantle,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,fork_drawer_counter,mutual_coop,126,0,drawer,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,fork_drawer_counter,asym_coop,127,1,counter,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,fork_drawer_counter,asym_adv,128,1,counter,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,fork_drawer_counter,conflict_coop,129,0,drawer,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,package_door_porch,mutual_coop,12,0,,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,fork_drawer_counter,conflict_adv,130,1,counter,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,fork_drawer_counter,mutual_incoh,131,1,counter,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,ticket_pocket_bag,mutual_coop,132,0,bag,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,ticket_pocket_bag,asym_coop,133,0,,16,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,4,0,1,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,ticket_pocket_bag,asym_adv,134,1,pocket,16,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,ticket_pocket_bag,conflict_coop,135,0,bag,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,ticket_pocket_bag,conflict_adv,136,1,pocket,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,ticket_pocket_bag,mutual_incoh,137,1,pocket,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,map_table_wall,mutual_coop,138,0,,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,map_table_wall,asym_coop,139,0,,16,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,package_door_porch,asym_coop,13,1,back porch,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,map_table_wall,asym_adv,140,0,,16,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,4,0,1,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,map_table_wall,conflict_coop,141,0,,16,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,map_table_wall,conflict_adv,142,1,wall,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,map_table_wall,mutual_incoh,143,1,wall,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,broom_closet_corner,mutual_coop,144,1,closet,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,broom_closet_corner,asym_coop,145,0,corner,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,broom_closet_corner,asym_adv,146,1,closet,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,broom_closet_corner,conflict_coop,147,0,corner,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,broom_closet_corner,conflict_adv,148,0,corner,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,broom_closet_corner,mutual_incoh,149,1,closet,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,package_door_porch,asym_adv,14,0,,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,camera_bag_shelf,mutual_coop,150,1,shelf,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,camera_bag_shelf,asym_coop,151,0,,16,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,4,0,1,0
Meta-Llama-3-8B-Instruct x Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,camera_bag_shelf,asym_adv,152,1,shelf,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
