pair,scenario,condition,correct,final_choice,n_turns
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,broom,asym_adv,0,corner,16
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,broom,asym_adv,0,corner,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,broom,asym_adv,0,corner,6
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,brush,asym_adv,0,counter,10
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,brush,asym_adv,1,drawer,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,brush,asym_adv,1,drawer,4
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,brush,asym_adv,1,drawer,4
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,brush,asym_adv,0,counter,2
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,bulb,asym_adv,1,box,8
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,bulb,asym_adv,1,box,4
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,bulb,asym_adv,0,shelf,4
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,bulb,asym_adv,0,shelf,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,bulb,asym_adv,1,box,2
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,cable,asym_adv,0,floor,12
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,cable,asym_adv,1,desk,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,cable,asym_adv,1,desk,2
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,cable,asym_adv,1,desk,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,cable,asym_adv,0,,8
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,camera,asym_adv,1,shelf,16
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,camera,asym_adv,1,shelf,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,camera,asym_adv,1,shelf,2
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,camera,asym_adv,0,,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,camera,asym_adv,0,,8
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,candle,asym_adv,1,mantle,10
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,candle,asym_adv,1,mantle,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,candle,asym_adv,1,mantle,4
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,candle,asym_adv,0,table,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,candle,asym_adv,0,,2
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,chain,asym_adv,1,hook,10
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,chain,asym_adv,1,hook,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,chain,asym_adv,0,box,4
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,chain,asym_adv,0,,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,chain,asym_adv,0,,16
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,chalk,asym_adv,0,,16
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,chalk,asym_adv,0,,4
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,chalk,asym_adv,0,,11
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,chalk,asym_adv,0,,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,chalk,asym_adv,1,box,2
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,charger,asym_adv,1,desk,14
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,charger,asym_adv,0,,16
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,charger,asym_adv,0,bed,4
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,charger,asym_adv,0,bed,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,charger,asym_adv,1,desk,2
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,clip,asym_adv,0,,4
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,clip,asym_adv,0,,16
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,clip,asym_adv,0,,16
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,clip,asym_adv,0,tray,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,clip,asym_adv,1,desk,2
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,clipboard,asym_adv,1,desk,12
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,clipboard,asym_adv,1,desk,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,clipboard,asym_adv,1,desk,8
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,clipboard,asym_adv,0,,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,clipboard,asym_adv,0,,2
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,cloth,asym_adv,1,basket,8
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,cloth,asym_adv,1,basket,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,cloth,asym_adv,0,,16
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,cloth,asym_adv,0,rack,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,cloth,asym_adv,0,rack,2
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,coin,asym_adv,1,pocket,14
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,coin,asym_adv,1,pocket,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,coin,asym_adv,1,pocket,2
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,coin,asym_adv,0,jar,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,coin,asym_adv,0,,16
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,comb,asym_adv,0,shelf,10
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,comb,asym_adv,1,drawer,6
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,comb,asym_adv,1,drawer,4
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,comb,asym_adv,0,,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,comb,asym_adv,0,,16
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,cord,asym_adv,0,,16
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,cord,asym_adv,0,,16
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,cord,asym_adv,0,desk,4
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,cord,asym_adv,1,basket,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,cord,asym_adv,1,basket,2
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,cup,asym_adv,1,shelf,12
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,cup,asym_adv,1,shelf,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,cup,asym_adv,1,shelf,2
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,cup,asym_adv,0,,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,cup,asym_adv,1,shelf,2
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,dice,asym_adv,0,,16
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,dice,asym_adv,1,table,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,dice,asym_adv,1,table,12
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,dice,asym_adv,1,table,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,dice,asym_adv,0,,16
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,drill,asym_adv,1,bench,16
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,drill,asym_adv,1,bench,6
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,drill,asym_adv,1,bench,2
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,drill,asym_adv,0,case,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,drill,asym_adv,0,,16
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,fan,asym_adv,1,shelf,12
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,fan,asym_adv,1,shelf,14
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,fan,asym_adv,1,shelf,2
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,fan,asym_adv,0,,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,fan,asym_adv,0,,8
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,film,asym_adv,1,shelf,10
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,film,asym_adv,0,drawer,16
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,film,asym_adv,0,drawer,4
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,film,asym_adv,1,shelf,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,film,asym_adv,0,drawer,2
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,flag,asym_adv,1,pole,8
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,flag,asym_adv,1,pole,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,flag,asym_adv,1,pole,2
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,flag,asym_adv,1,pole,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,flag,asym_adv,0,box,2
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,flashlight,asym_adv,1,drawer,10
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,flashlight,asym_adv,1,drawer,4
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,flashlight,asym_adv,0,shelf,14
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,flashlight,asym_adv,0,,1
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,flashlight,asym_adv,0,,2
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,flask,asym_adv,1,locker,10
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,flask,asym_adv,0,desk,4
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,flask,asym_adv,1,locker,4
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,flask,asym_adv,1,locker,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,flask,asym_adv,1,locker,2
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,fork,asym_adv,1,counter,8
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,fork,asym_adv,1,counter,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,fork,asym_adv,1,counter,2
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,fork,asym_adv,0,drawer,4
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,fork,asym_adv,1,counter,2
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,frame,asym_adv,1,wall,14
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,frame,asym_adv,1,wall,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,frame,asym_adv,0,desk,16
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,frame,asym_adv,0,desk,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,frame,asym_adv,0,,16
DeepSeek-R1-Distill-Llama-8B × DeepSeek-R1-Distill-Llama-8B,glasses,asym_adv,0,,16
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,glasses,asym_adv,1,shelf,16
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,glasses,asym_adv,1,shelf,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,glasses,asym_adv,1,shelf,4
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,glasses,asym_adv,0,,2
Qwen3-8B × Qwen3-8B,glasses,asym_adv,0,,16
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,glasses,asym_adv,0,counter,2
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,globe,asym_adv,0,,16
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,globe,asym_adv,1,shelf,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,globe,asym_adv,0,desk,4
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,globe,asym_adv,0,desk,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,globe,asym_adv,0,,2
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,glove,asym_adv,1,bench,14
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,glove,asym_adv,1,bench,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,glove,asym_adv,1,bench,4
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,glove,asym_adv,0,pocket,4
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,glove,asym_adv,0,,2
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,hammer,asym_adv,0,,16
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,hammer,asym_adv,1,floor,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,hammer,asym_adv,1,floor,2
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,hammer,asym_adv,0,shelf,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,hammer,asym_adv,0,,16
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,hat,asym_adv,1,hook,10
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,hat,asym_adv,1,hook,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,hat,asym_adv,0,chair,4
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,hat,asym_adv,0,,2
Qwen3-8B × Qwen3-8B,hat,asym_adv,1,hook,8
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,hat,asym_adv,0,,2
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,jacket,asym_adv,1,hook,10
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,jacket,asym_adv,1,hook,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,jacket,asym_adv,1,hook,2
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,jacket,asym_adv,0,chair,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,jacket,asym_adv,0,,8
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,jar,asym_adv,0,,14
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,jar,asym_adv,1,counter,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,jar,asym_adv,1,counter,4
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,jar,asym_adv,0,shelf,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,jar,asym_adv,0,,2
DeepSeek-R1-Distill-Llama-8B × DeepSeek-R1-Distill-Llama-8B,key,asym_adv,0,blue box,4
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,key,asym_adv,1,red box,10
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,key,asym_adv,1,red box,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,key,asym_adv,1,red box,4
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,key,asym_adv,0,blue box,2
Qwen3-8B × Qwen3-8B,key,asym_adv,0,,2
Qwen_Qwen3-14B × Qwen_Qwen3-14B,key,asym_adv,1,red box,4
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,key,asym_adv,0,,16
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,knob,asym_adv,1,box,10
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,knob,asym_adv,1,box,6
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,knob,asym_adv,0,,16
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,knob,asym_adv,0,shelf,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,knob,asym_adv,0,,16
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,lantern,asym_adv,0,,16
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,lantern,asym_adv,0,tent,4
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,lantern,asym_adv,0,tent,6
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,lantern,asym_adv,0,tent,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,lantern,asym_adv,0,,16
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,lanyard,asym_adv,1,locker,8
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,lanyard,asym_adv,1,locker,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,lanyard,asym_adv,1,locker,2
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,lanyard,asym_adv,0,desk,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,lanyard,asym_adv,0,,2
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,leash,asym_adv,1,hook,12
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,leash,asym_adv,1,hook,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,leash,asym_adv,0,,12
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,leash,asym_adv,0,,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,leash,asym_adv,0,table,4
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,lens,asym_adv,1,bag,14
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,lens,asym_adv,1,bag,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,lens,asym_adv,1,bag,6
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,lens,asym_adv,0,case,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,lens,asym_adv,0,,16
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,letter,asym_adv,1,mat,8
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,letter,asym_adv,1,mat,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,letter,asym_adv,0,,16
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,letter,asym_adv,0,,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,letter,asym_adv,0,,16
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,lighter,asym_adv,1,pocket,10
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,lighter,asym_adv,1,pocket,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,lighter,asym_adv,1,pocket,2
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,lighter,asym_adv,0,drawer,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,lighter,asym_adv,1,pocket,2
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,lock,asym_adv,1,gate,12
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,lock,asym_adv,1,gate,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,lock,asym_adv,0,shed,4
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,lock,asym_adv,0,,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,lock,asym_adv,1,gate,8
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,map,asym_adv,0,,16
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,map,asym_adv,1,wall,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,map,asym_adv,1,wall,16
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,map,asym_adv,0,table,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,map,asym_adv,0,,16
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,marker,asym_adv,1,tray,14
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,marker,asym_adv,0,cup,8
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,marker,asym_adv,1,tray,2
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,marker,asym_adv,0,cup,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,marker,asym_adv,1,tray,2
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,mask,asym_adv,1,drawer,12
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,mask,asym_adv,1,drawer,2
