pair,scenario,condition,correct,final_choice,n_turns
gemini-3.1-pro-preview × gemini-3.1-pro-preview,hammer,asym_adv,0,shelf,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,hat,asym_adv,0,chair,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,jacket,asym_adv,1,hook,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,jar,asym_adv,1,counter,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,key,asym_adv,1,red box,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,knob,asym_adv,1,box,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,lantern,asym_adv,1,truck,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,lanyard,asym_adv,1,locker,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,leash,asym_adv,1,hook,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,lens,asym_adv,1,bag,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,letter,asym_adv,1,mat,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,lighter,asym_adv,1,pocket,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,lock,asym_adv,1,gate,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,map,asym_adv,1,wall,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,marker,asym_adv,1,tray,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,mask,asym_adv,1,drawer,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,mat,asym_adv,1,shelf,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,medal,asym_adv,1,box,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,mirror,asym_adv,1,shelf,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,mug,asym_adv,0,shelf,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,needle,asym_adv,1,drawer,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,net,asym_adv,0,yard,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,notebook,asym_adv,1,desk,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,pail,asym_adv,1,shed,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,paint,asym_adv,1,shelf,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,pan,asym_adv,1,shelf,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,patch,asym_adv,0,table,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,pen,asym_adv,1,tray,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,phone,asym_adv,1,table,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,photo,asym_adv,1,drawer,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,pillow,asym_adv,1,bed,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,pkg,asym_adv,0,front door,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,plate,asym_adv,1,sink,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,plug,asym_adv,1,floor,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,rake,asym_adv,1,shed,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,receipt,asym_adv,1,pocket,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,remote,asym_adv,0,cushion,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,ring,asym_adv,1,box,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,rope,asym_adv,0,trunk,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,scale,asym_adv,0,counter,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,scarf,asym_adv,1,closet,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,scissors,asym_adv,1,desk,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,seed,asym_adv,1,bag,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,shovel,asym_adv,1,yard,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,soap,asym_adv,1,ledge,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,sponge,asym_adv,0,sink,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,spoon,asym_adv,1,bowl,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,stamp,asym_adv,1,drawer,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,stapler,asym_adv,0,drawer,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,stone,asym_adv,1,pot,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,strap,asym_adv,1,drawer,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,tape,asym_adv,1,shelf,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,ticket,asym_adv,1,pocket,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,towel,asym_adv,1,rack,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,toy,asym_adv,1,bin,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,tray,asym_adv,1,oven,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,umbrella,asym_adv,1,hook,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,vase,asym_adv,1,mantle,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,wallet,asym_adv,1,drawer,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,watch,asym_adv,1,nightstand,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,whisk,asym_adv,1,drawer,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,wire,asym_adv,1,bench,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,wrench,asym_adv,1,toolbox,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,apron,asym_coop,1,drawer,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,badge,asym_coop,1,desk,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,ball,asym_coop,1,garage,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,belt,asym_coop,1,chair,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,binder,asym_coop,1,desk,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,blanket,asym_coop,1,bed,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,book,asym_coop,1,shelf,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,bottle,asym_coop,1,counter,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,bowl,asym_coop,1,table,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,broom,asym_coop,1,closet,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,brush,asym_coop,1,drawer,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,bulb,asym_coop,1,box,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,cable,asym_coop,1,desk,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,camera,asym_coop,1,shelf,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,candle,asym_coop,1,mantle,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,chain,asym_coop,1,hook,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,chalk,asym_coop,1,box,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,charger,asym_coop,1,desk,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,clip,asym_coop,1,desk,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,clipboard,asym_coop,1,desk,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,cloth,asym_coop,1,basket,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,coin,asym_coop,1,pocket,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,comb,asym_coop,1,drawer,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,cord,asym_coop,1,basket,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,cup,asym_coop,1,shelf,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,dice,asym_coop,1,table,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,drill,asym_coop,1,bench,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,fan,asym_coop,1,shelf,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,film,asym_coop,1,shelf,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,flag,asym_coop,1,pole,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,flashlight,asym_coop,1,drawer,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,flask,asym_coop,1,locker,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,fork,asym_coop,1,counter,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,frame,asym_coop,1,wall,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,glasses,asym_coop,1,shelf,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,globe,asym_coop,1,shelf,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,glove,asym_coop,1,bench,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,hammer,asym_coop,1,floor,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,hat,asym_coop,1,hook,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,jacket,asym_coop,1,hook,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,jar,asym_coop,1,counter,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,key,asym_coop,1,red box,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,knob,asym_coop,1,box,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,lantern,asym_coop,1,truck,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,lanyard,asym_coop,1,locker,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,leash,asym_coop,1,hook,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,lens,asym_coop,1,bag,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,letter,asym_coop,1,mat,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,lighter,asym_coop,1,pocket,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,lock,asym_coop,1,gate,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,map,asym_coop,1,wall,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,marker,asym_coop,1,tray,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,mask,asym_coop,1,drawer,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,mat,asym_coop,1,shelf,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,medal,asym_coop,1,box,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,mirror,asym_coop,1,shelf,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,mug,asym_coop,1,rack,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,needle,asym_coop,1,drawer,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,net,asym_coop,1,shed,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,notebook,asym_coop,1,desk,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,pail,asym_coop,1,shed,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,paint,asym_coop,1,shelf,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,pan,asym_coop,1,shelf,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,patch,asym_coop,1,drawer,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,pen,asym_coop,1,tray,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,phone,asym_coop,1,table,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,photo,asym_coop,1,drawer,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,pillow,asym_coop,1,bed,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,pkg,asym_coop,1,back porch,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,plate,asym_coop,1,sink,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,plug,asym_coop,1,floor,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,rake,asym_coop,1,shed,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,receipt,asym_coop,1,pocket,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,remote,asym_coop,1,table,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,ring,asym_coop,1,box,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,rope,asym_coop,1,shed,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,scale,asym_coop,1,shelf,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,scarf,asym_coop,1,closet,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,scissors,asym_coop,1,desk,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,seed,asym_coop,1,bag,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,shovel,asym_coop,1,yard,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,soap,asym_coop,1,ledge,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,sponge,asym_coop,1,counter,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,spoon,asym_coop,1,bowl,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,stamp,asym_coop,1,drawer,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,stapler,asym_coop,0,,1
gemini-3.1-pro-preview × gemini-3.1-pro-preview,stone,asym_coop,1,pot,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,strap,asym_coop,1,drawer,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,tape,asym_coop,1,shelf,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,ticket,asym_coop,1,pocket,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,towel,asym_coop,1,rack,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,toy,asym_coop,1,bin,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,tray,asym_coop,1,oven,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,umbrella,asym_coop,1,hook,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,vase,asym_coop,1,mantle,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,wallet,asym_coop,1,drawer,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,watch,asym_coop,1,nightstand,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,whisk,asym_coop,1,drawer,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,wire,asym_coop,1,bench,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,wrench,asym_coop,1,toolbox,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,apron,conflict_adv,0,hook,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,badge,conflict_adv,0,hook,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,ball,conflict_adv,0,yard,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,belt,conflict_adv,0,closet,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,binder,conflict_adv,0,shelf,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,blanket,conflict_adv,0,chair,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,book,conflict_adv,0,bag,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,bottle,conflict_adv,0,fridge,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,bowl,conflict_adv,0,counter,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,broom,conflict_adv,0,corner,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,brush,conflict_adv,0,counter,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,bulb,conflict_adv,0,shelf,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,cable,conflict_adv,0,floor,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,camera,conflict_adv,0,bag,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,candle,conflict_adv,0,table,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,chain,conflict_adv,0,box,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,chalk,conflict_adv,0,tray,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,charger,conflict_adv,0,bed,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,clip,conflict_adv,0,tray,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,clipboard,conflict_adv,0,shelf,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,cloth,conflict_adv,0,rack,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,coin,conflict_adv,0,jar,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,comb,conflict_adv,0,shelf,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,cord,conflict_adv,0,desk,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,cup,conflict_adv,0,table,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,dice,conflict_adv,0,cup,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,drill,conflict_adv,0,case,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,fan,conflict_adv,0,floor,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,film,conflict_adv,0,drawer,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,flag,conflict_adv,0,box,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,flashlight,conflict_adv,0,shelf,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,flask,conflict_adv,0,desk,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,fork,conflict_adv,0,drawer,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,frame,conflict_adv,0,desk,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,glasses,conflict_adv,0,counter,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,globe,conflict_adv,0,desk,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,glove,conflict_adv,0,pocket,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,hammer,conflict_adv,0,shelf,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,hat,conflict_adv,0,chair,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,jacket,conflict_adv,0,chair,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,jar,conflict_adv,0,shelf,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,key,conflict_adv,0,blue box,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,knob,conflict_adv,0,shelf,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,lantern,conflict_adv,0,tent,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,lanyard,conflict_adv,0,desk,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,leash,conflict_adv,0,table,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,lens,conflict_adv,1,bag,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,letter,conflict_adv,0,mailbox,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,lighter,conflict_adv,0,drawer,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,lock,conflict_adv,0,shed,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,map,conflict_adv,0,table,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,marker,conflict_adv,0,cup,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,mask,conflict_adv,0,hook,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,mat,conflict_adv,0,floor,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,medal,conflict_adv,0,shelf,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,mirror,conflict_adv,0,wall,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,mug,conflict_adv,0,shelf,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,needle,conflict_adv,0,box,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,net,conflict_adv,0,yard,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,notebook,conflict_adv,0,backpack,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,pail,conflict_adv,0,porch,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,paint,conflict_adv,0,bench,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,pan,conflict_adv,0,stove,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,patch,conflict_adv,0,table,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,pen,conflict_adv,0,cup,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,phone,conflict_adv,0,couch,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,photo,conflict_adv,0,shelf,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,pillow,conflict_adv,0,couch,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,pkg,conflict_adv,0,front door,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,plate,conflict_adv,0,table,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,plug,conflict_adv,0,desk,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,rake,conflict_adv,0,fence,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,receipt,conflict_adv,0,folder,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,remote,conflict_adv,0,cushion,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,ring,conflict_adv,0,pouch,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,rope,conflict_adv,0,trunk,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,scale,conflict_adv,0,counter,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,scarf,conflict_adv,0,bench,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,scissors,conflict_adv,0,cabinet,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,seed,conflict_adv,0,pot,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,shovel,conflict_adv,0,shed,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,soap,conflict_adv,0,shelf,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,sponge,conflict_adv,0,sink,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,spoon,conflict_adv,0,cup,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,stamp,conflict_adv,0,tray,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,stapler,conflict_adv,0,drawer,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,stone,conflict_adv,0,ledge,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,strap,conflict_adv,0,hook,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,tape,conflict_adv,0,drawer,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,ticket,conflict_adv,0,bag,4
gemini-3.1-pro-preview × gemini-3.1-pro-preview,towel,conflict_adv,0,basket,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,toy,conflict_adv,0,rug,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,tray,conflict_adv,0,counter,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,umbrella,conflict_adv,0,stand,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,vase,conflict_adv,0,table,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,wallet,conflict_adv,0,desk,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,watch,conflict_adv,0,dresser,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,whisk,conflict_adv,0,hook,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,wire,conflict_adv,0,drawer,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,wrench,conflict_adv,0,bench,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,apron,conflict_coop,1,drawer,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,badge,conflict_coop,1,desk,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,ball,conflict_coop,1,garage,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,belt,conflict_coop,1,chair,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,binder,conflict_coop,1,desk,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,blanket,conflict_coop,1,bed,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,book,conflict_coop,1,shelf,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,bottle,conflict_coop,1,counter,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,bowl,conflict_coop,1,table,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,broom,conflict_coop,1,closet,2
