pattern,episode,belief,no_leave,null_choice,max_turns_hit,repetitive_loop
Are you looking for X?,37,ignorance,False,False,False,False
Are you looking for X?,37,shared_truth,False,False,False,False
Are you looking for X?,38,false_belief,False,False,False,False
Are you looking for X?,38,ignorance,False,False,False,False
Are you looking for X?,38,shared_truth,False,False,False,False
Are you looking for X?,39,false_belief,False,False,False,False
Are you looking for X?,39,ignorance,False,False,False,False
Are you looking for X?,39,shared_truth,False,False,False,False
Are you looking for X?,3,false_belief,False,False,False,False
Are you looking for X?,3,ignorance,False,False,False,False
Are you looking for X?,3,shared_truth,False,False,False,False
Are you looking for X?,40,false_belief,False,False,False,False
Are you looking for X?,40,ignorance,False,False,False,False
Are you looking for X?,40,shared_truth,False,False,False,False
Are you looking for X?,41,false_belief,False,False,False,False
Are you looking for X?,41,ignorance,False,False,False,False
Are you looking for X?,41,shared_truth,False,False,False,False
Are you looking for X?,42,false_belief,False,False,False,False
Are you looking for X?,42,ignorance,False,False,False,False
Are you looking for X?,42,shared_truth,False,False,False,False
Are you looking for X?,43,false_belief,False,False,False,False
Are you looking for X?,43,ignorance,False,False,False,False
Are you looking for X?,43,shared_truth,False,False,False,False
Are you looking for X?,44,false_belief,False,False,False,False
Are you looking for X?,44,ignorance,False,False,False,False
Are you looking for X?,44,shared_truth,False,False,False,False
Are you looking for X?,45,false_belief,False,False,False,False
Are you looking for X?,45,ignorance,False,False,False,False
Are you looking for X?,45,shared_truth,False,False,False,False
Are you looking for X?,46,false_belief,False,False,False,False
Are you looking for X?,46,ignorance,False,False,False,False
Are you looking for X?,46,shared_truth,False,False,False,False
Are you looking for X?,47,false_belief,False,False,False,False
Are you looking for X?,47,ignorance,False,False,False,False
Are you looking for X?,47,shared_truth,False,False,False,False
Are you looking for X?,48,false_belief,False,False,False,False
Are you looking for X?,48,ignorance,False,False,False,False
Are you looking for X?,48,shared_truth,False,False,False,False
Are you looking for X?,49,false_belief,False,False,False,False
Are you looking for X?,49,ignorance,False,False,False,False
Are you looking for X?,49,shared_truth,False,False,False,False
Are you looking for X?,4,false_belief,False,False,False,False
Are you looking for X?,4,ignorance,False,False,False,False
Are you looking for X?,4,shared_truth,False,False,False,False
Are you looking for X?,50,false_belief,False,False,False,False
Are you looking for X?,50,ignorance,False,False,False,False
Are you looking for X?,50,shared_truth,False,False,False,False
Are you looking for X?,51,false_belief,False,False,False,False
Are you looking for X?,51,ignorance,False,False,False,False
Are you looking for X?,51,shared_truth,False,False,False,False
Are you looking for X?,52,false_belief,False,False,False,False
Are you looking for X?,52,ignorance,False,False,False,False
Are you looking for X?,52,shared_truth,False,False,False,False
Are you looking for X?,53,false_belief,False,False,False,False
Are you looking for X?,53,ignorance,False,False,False,False
Are you looking for X?,53,shared_truth,False,False,False,False
Are you looking for X?,54,false_belief,False,False,False,False
Are you looking for X?,54,ignorance,False,False,False,False
Are you looking for X?,54,shared_truth,False,False,False,False
Are you looking for X?,55,false_belief,False,False,False,False
Are you looking for X?,55,ignorance,False,False,False,False
Are you looking for X?,55,shared_truth,False,False,False,False
Are you looking for X?,56,false_belief,False,False,False,False
Are you looking for X?,56,ignorance,False,False,False,False
Are you looking for X?,56,shared_truth,False,False,False,False
Are you looking for X?,57,false_belief,False,False,False,False
Are you looking for X?,57,ignorance,False,False,False,False
Are you looking for X?,57,shared_truth,False,False,False,False
Are you looking for X?,58,false_belief,False,False,False,False
Are you looking for X?,58,ignorance,False,False,False,False
Are you looking for X?,58,shared_truth,False,False,False,False
Are you looking for X?,59,false_belief,False,False,False,False
Are you looking for X?,59,ignorance,False,False,False,False
Are you looking for X?,59,shared_truth,False,False,False,False
Are you looking for X?,5,false_belief,False,False,False,False
Are you looking for X?,5,ignorance,False,False,False,False
Are you looking for X?,5,shared_truth,False,False,False,False
Are you looking for X?,60,false_belief,False,False,False,False
Are you looking for X?,60,ignorance,False,False,False,False
Are you looking for X?,60,shared_truth,False,False,False,False
Are you looking for X?,61,false_belief,False,False,False,False
Are you looking for X?,61,ignorance,False,False,False,False
Are you looking for X?,61,shared_truth,False,False,False,False
Are you looking for X?,62,false_belief,False,False,False,False
Are you looking for X?,62,ignorance,False,False,False,False
Are you looking for X?,62,shared_truth,False,False,False,False
Are you looking for X?,63,false_belief,False,False,False,False
Are you looking for X?,63,ignorance,False,False,False,False
Are you looking for X?,63,shared_truth,False,False,False,False
Are you looking for X?,64,false_belief,False,False,False,False
Are you looking for X?,64,ignorance,False,False,False,False
Are you looking for X?,64,shared_truth,False,False,False,False
Are you looking for X?,65,false_belief,False,False,False,False
Are you looking for X?,65,ignorance,False,False,False,False
Are you looking for X?,65,shared_truth,False,False,False,False
Are you looking for X?,66,false_belief,False,False,False,False
Are you looking for X?,66,ignorance,False,False,False,False
Are you looking for X?,66,shared_truth,False,False,False,False
Are you looking for X?,67,false_belief,False,False,False,False
Are you looking for X?,67,ignorance,False,False,False,False
Are you looking for X?,67,shared_truth,False,False,False,False
Are you looking for X?,68,false_belief,False,False,False,False
Are you looking for X?,68,ignorance,False,False,False,False
Are you looking for X?,68,shared_truth,False,False,False,False
Are you looking for X?,69,false_belief,False,False,False,False
Are you looking for X?,69,ignorance,False,False,False,False
Are you looking for X?,69,shared_truth,False,False,False,False
Are you looking for X?,6,false_belief,False,False,False,False
Are you looking for X?,6,ignorance,False,False,False,False
Are you looking for X?,6,shared_truth,False,False,False,False
Are you looking for X?,70,false_belief,False,False,False,False
Are you looking for X?,70,ignorance,False,False,False,False
Are you looking for X?,70,shared_truth,False,False,False,False
Are you looking for X?,71,false_belief,False,False,False,False
Are you looking for X?,71,ignorance,False,False,False,False
Are you looking for X?,71,shared_truth,False,False,False,False
Are you looking for X?,72,false_belief,False,False,False,False
Are you looking for X?,72,ignorance,False,False,False,False
Are you looking for X?,72,shared_truth,False,False,False,False
Are you looking for X?,73,false_belief,False,False,False,False
Are you looking for X?,73,ignorance,False,False,False,False
Are you looking for X?,73,shared_truth,False,False,False,False
Are you looking for X?,74,false_belief,False,False,False,False
Are you looking for X?,74,ignorance,False,False,False,False
Are you looking for X?,74,shared_truth,False,False,False,False
Are you looking for X?,75,false_belief,False,False,False,False
Are you looking for X?,75,ignorance,False,False,False,False
Are you looking for X?,75,shared_truth,False,False,False,False
Are you looking for X?,76,false_belief,False,False,False,False
Are you looking for X?,76,ignorance,False,False,False,False
Are you looking for X?,76,shared_truth,False,False,False,False
Are you looking for X?,77,false_belief,False,False,False,False
Are you looking for X?,77,ignorance,False,False,False,False
Are you looking for X?,77,shared_truth,False,False,False,False
Are you looking for X?,78,false_belief,False,False,False,False
Are you looking for X?,78,ignorance,False,False,False,False
Are you looking for X?,78,shared_truth,False,False,False,False
Are you looking for X?,79,false_belief,False,False,False,False
Are you looking for X?,79,ignorance,False,False,False,False
Are you looking for X?,79,shared_truth,False,False,False,False
Are you looking for X?,7,false_belief,False,False,False,False
Are you looking for X?,7,ignorance,False,False,False,False
Are you looking for X?,7,shared_truth,False,False,False,False
Are you looking for X?,80,false_belief,False,False,False,False
Are you looking for X?,80,ignorance,False,False,False,False
Are you looking for X?,80,shared_truth,False,False,False,False
Are you looking for X?,81,false_belief,False,False,False,False
Are you looking for X?,81,ignorance,False,False,False,False
Are you looking for X?,81,shared_truth,False,False,False,False
Are you looking for X?,82,false_belief,False,False,False,False
Are you looking for X?,82,ignorance,False,False,False,False
Are you looking for X?,82,shared_truth,False,False,False,False
Are you looking for X?,83,false_belief,False,False,False,False
Are you looking for X?,83,ignorance,False,False,False,False
Are you looking for X?,83,shared_truth,False,False,False,False
Are you looking for X?,84,false_belief,False,False,False,False
Are you looking for X?,84,ignorance,False,False,False,False
Are you looking for X?,84,shared_truth,False,False,False,False
Are you looking for X?,85,false_belief,False,False,False,False
Are you looking for X?,85,ignorance,False,False,False,False
Are you looking for X?,85,shared_truth,False,False,False,False
Are you looking for X?,86,false_belief,False,False,False,False
Are you looking for X?,86,ignorance,False,False,False,False
Are you looking for X?,86,shared_truth,False,False,False,False
Are you looking for X?,87,false_belief,False,False,False,False
Are you looking for X?,87,ignorance,False,False,False,False
Are you looking for X?,87,shared_truth,False,False,False,False
Are you looking for X?,88,false_belief,False,False,False,False
Are you looking for X?,88,ignorance,False,False,False,False
Are you looking for X?,88,shared_truth,False,False,False,False
Are you looking for X?,89,false_belief,False,False,False,False
Are you looking for X?,89,ignorance,False,False,False,False
Are you looking for X?,89,shared_truth,False,False,False,False
Are you looking for X?,8,false_belief,False,False,False,False
Are you looking for X?,8,ignorance,False,False,False,False
Are you looking for X?,8,shared_truth,False,False,False,False
Are you looking for X?,90,false_belief,False,False,False,False
Are you looking for X?,90,ignorance,False,False,False,False
Are you looking for X?,90,shared_truth,False,False,False,False
Are you looking for X?,91,false_belief,False,False,False,False
Are you looking for X?,91,ignorance,False,False,False,False
Are you looking for X?,91,shared_truth,False,False,False,False
Are you looking for X?,92,false_belief,False,False,False,False
Are you looking for X?,92,ignorance,False,False,False,False
Are you looking for X?,92,shared_truth,False,False,False,False
Are you looking for X?,93,false_belief,False,False,False,False
Are you looking for X?,93,ignorance,False,False,False,False
Are you looking for X?,93,shared_truth,False,False,False,False
Are you looking for X?,94,false_belief,False,False,False,False
Are you looking for X?,94,ignorance,False,False,False,False
Are you looking for X?,94,shared_truth,False,False,False,False
Are you looking for X?,95,false_belief,False,False,False,False
Are you looking for X?,95,ignorance,False,False,False,False
Are you looking for X?,95,shared_truth,False,False,False,False
Are you looking for X?,96,false_belief,False,False,False,False
Are you looking for X?,96,ignorance,False,False,False,False
Are you looking for X?,96,shared_truth,False,False,False,False
Are you looking for X?,97,false_belief,False,False,False,False
Are you looking for X?,97,ignorance,False,False,False,False
Are you looking for X?,97,shared_truth,False,False,False,False
Are you looking for X?,98,false_belief,False,False,False,False
Are you looking for X?,98,ignorance,False,False,False,False
Are you looking for X?,98,shared_truth,False,False,False,False
Are you looking for X?,99,false_belief,False,False,False,False
Are you looking for X?,99,ignorance,False,False,False,False
Are you looking for X?,99,shared_truth,False,False,False,False
Are you looking for X?,9,false_belief,False,False,False,False
Are you looking for X?,9,ignorance,False,False,False,False
Are you looking for X?,9,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),0,false_belief,False,False,False,False
Bare anaphoric (It's in Y),0,ignorance,False,False,False,False
Bare anaphoric (It's in Y),0,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),10,false_belief,False,False,False,False
Bare anaphoric (It's in Y),10,ignorance,False,False,False,False
Bare anaphoric (It's in Y),10,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),11,false_belief,False,False,False,False
Bare anaphoric (It's in Y),11,ignorance,False,False,False,False
Bare anaphoric (It's in Y),11,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),12,false_belief,False,False,False,False
Bare anaphoric (It's in Y),12,ignorance,False,False,False,False
Bare anaphoric (It's in Y),12,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),13,false_belief,False,False,False,False
Bare anaphoric (It's in Y),13,ignorance,False,False,False,False
Bare anaphoric (It's in Y),13,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),14,false_belief,False,False,False,False
Bare anaphoric (It's in Y),14,ignorance,False,False,False,False
Bare anaphoric (It's in Y),14,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),15,false_belief,False,False,False,False
Bare anaphoric (It's in Y),15,ignorance,False,False,False,False
Bare anaphoric (It's in Y),15,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),16,false_belief,False,False,False,False
Bare anaphoric (It's in Y),16,ignorance,False,False,False,False
Bare anaphoric (It's in Y),16,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),17,false_belief,False,False,False,False
Bare anaphoric (It's in Y),17,ignorance,False,False,False,False
Bare anaphoric (It's in Y),17,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),18,false_belief,False,False,False,False
Bare anaphoric (It's in Y),18,ignorance,False,False,False,False
Bare anaphoric (It's in Y),18,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),19,false_belief,False,False,False,False
Bare anaphoric (It's in Y),19,ignorance,False,False,False,False
Bare anaphoric (It's in Y),19,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),1,false_belief,False,False,False,False
Bare anaphoric (It's in Y),1,ignorance,False,False,False,False
Bare anaphoric (It's in Y),1,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),20,false_belief,False,False,False,False
Bare anaphoric (It's in Y),20,ignorance,False,False,False,False
Bare anaphoric (It's in Y),20,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),21,false_belief,False,False,False,False
Bare anaphoric (It's in Y),21,ignorance,False,False,False,False
Bare anaphoric (It's in Y),21,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),22,false_belief,False,False,False,False
Bare anaphoric (It's in Y),22,ignorance,False,False,False,False
Bare anaphoric (It's in Y),22,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),23,false_belief,False,False,False,False
Bare anaphoric (It's in Y),23,ignorance,False,False,False,False
Bare anaphoric (It's in Y),23,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),24,false_belief,False,False,False,False
Bare anaphoric (It's in Y),24,ignorance,False,False,False,False
Bare anaphoric (It's in Y),24,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),25,false_belief,False,False,False,False
Bare anaphoric (It's in Y),25,ignorance,False,False,False,False
Bare anaphoric (It's in Y),25,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),26,false_belief,False,False,False,False
Bare anaphoric (It's in Y),26,ignorance,False,False,False,False
Bare anaphoric (It's in Y),26,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),27,false_belief,False,False,False,False
Bare anaphoric (It's in Y),27,ignorance,False,False,False,False
Bare anaphoric (It's in Y),27,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),28,false_belief,False,False,False,False
Bare anaphoric (It's in Y),28,ignorance,False,False,False,False
Bare anaphoric (It's in Y),28,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),29,false_belief,False,False,False,False
Bare anaphoric (It's in Y),29,ignorance,False,False,False,False
Bare anaphoric (It's in Y),29,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),2,false_belief,False,False,False,False
Bare anaphoric (It's in Y),2,ignorance,False,False,False,False
Bare anaphoric (It's in Y),2,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),30,false_belief,False,False,False,False
Bare anaphoric (It's in Y),30,ignorance,False,False,False,False
Bare anaphoric (It's in Y),30,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),31,false_belief,False,False,False,False
Bare anaphoric (It's in Y),31,ignorance,False,False,False,False
Bare anaphoric (It's in Y),31,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),32,false_belief,False,False,False,False
Bare anaphoric (It's in Y),32,ignorance,False,False,False,False
Bare anaphoric (It's in Y),32,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),33,false_belief,False,False,False,False
Bare anaphoric (It's in Y),33,ignorance,False,False,False,False
Bare anaphoric (It's in Y),33,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),34,false_belief,False,False,False,False
Bare anaphoric (It's in Y),34,ignorance,False,False,False,False
Bare anaphoric (It's in Y),34,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),35,false_belief,False,False,False,False
Bare anaphoric (It's in Y),35,ignorance,False,False,False,False
Bare anaphoric (It's in Y),35,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),36,false_belief,False,False,False,False
Bare anaphoric (It's in Y),36,ignorance,False,False,False,False
Bare anaphoric (It's in Y),36,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),37,false_belief,False,False,False,False
Bare anaphoric (It's in Y),37,ignorance,False,False,False,False
Bare anaphoric (It's in Y),37,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),38,false_belief,False,False,False,False
Bare anaphoric (It's in Y),38,ignorance,False,False,False,False
Bare anaphoric (It's in Y),38,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),39,false_belief,False,False,False,False
Bare anaphoric (It's in Y),39,ignorance,False,False,False,False
Bare anaphoric (It's in Y),39,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),3,false_belief,False,False,False,False
Bare anaphoric (It's in Y),3,ignorance,False,False,False,False
Bare anaphoric (It's in Y),3,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),40,false_belief,False,False,False,False
Bare anaphoric (It's in Y),40,ignorance,False,False,False,False
Bare anaphoric (It's in Y),40,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),41,false_belief,False,False,False,False
Bare anaphoric (It's in Y),41,ignorance,False,False,False,False
Bare anaphoric (It's in Y),41,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),42,false_belief,False,False,False,False
Bare anaphoric (It's in Y),42,ignorance,False,False,False,False
Bare anaphoric (It's in Y),42,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),43,false_belief,False,False,False,False
Bare anaphoric (It's in Y),43,ignorance,False,False,False,False
Bare anaphoric (It's in Y),43,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),44,false_belief,False,False,False,False
Bare anaphoric (It's in Y),44,ignorance,False,False,False,False
Bare anaphoric (It's in Y),44,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),45,false_belief,False,False,False,False
Bare anaphoric (It's in Y),45,ignorance,False,False,False,False
Bare anaphoric (It's in Y),45,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),46,false_belief,False,False,False,False
Bare anaphoric (It's in Y),46,ignorance,False,False,False,False
Bare anaphoric (It's in Y),46,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),47,false_belief,False,False,False,False
Bare anaphoric (It's in Y),47,ignorance,False,False,False,False
Bare anaphoric (It's in Y),47,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),48,false_belief,False,False,False,False
Bare anaphoric (It's in Y),48,ignorance,False,False,False,False
Bare anaphoric (It's in Y),48,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),49,false_belief,False,False,False,False
Bare anaphoric (It's in Y),49,ignorance,False,False,False,False
Bare anaphoric (It's in Y),49,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),4,false_belief,False,False,False,False
Bare anaphoric (It's in Y),4,ignorance,False,False,False,False
Bare anaphoric (It's in Y),4,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),50,false_belief,False,False,False,False
Bare anaphoric (It's in Y),50,ignorance,False,False,False,False
Bare anaphoric (It's in Y),50,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),51,false_belief,False,False,False,False
Bare anaphoric (It's in Y),51,ignorance,False,False,False,False
Bare anaphoric (It's in Y),51,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),52,false_belief,False,False,False,False
Bare anaphoric (It's in Y),52,ignorance,False,False,False,False
Bare anaphoric (It's in Y),52,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),53,false_belief,False,False,False,False
Bare anaphoric (It's in Y),53,ignorance,False,False,False,False
Bare anaphoric (It's in Y),53,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),54,false_belief,False,False,False,False
Bare anaphoric (It's in Y),54,ignorance,False,False,False,False
Bare anaphoric (It's in Y),54,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),55,false_belief,False,False,False,False
Bare anaphoric (It's in Y),55,ignorance,False,False,False,False
Bare anaphoric (It's in Y),55,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),56,false_belief,False,False,False,False
Bare anaphoric (It's in Y),56,ignorance,False,False,False,False
Bare anaphoric (It's in Y),56,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),57,false_belief,False,False,False,False
Bare anaphoric (It's in Y),57,ignorance,False,False,False,False
Bare anaphoric (It's in Y),57,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),58,false_belief,False,False,False,False
Bare anaphoric (It's in Y),58,ignorance,False,False,False,False
Bare anaphoric (It's in Y),58,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),59,false_belief,False,False,False,False
Bare anaphoric (It's in Y),59,ignorance,False,False,False,False
Bare anaphoric (It's in Y),59,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),5,false_belief,False,False,False,False
Bare anaphoric (It's in Y),5,ignorance,False,False,False,False
Bare anaphoric (It's in Y),5,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),60,false_belief,False,False,False,False
Bare anaphoric (It's in Y),60,ignorance,False,False,False,False
Bare anaphoric (It's in Y),60,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),61,false_belief,False,False,False,False
Bare anaphoric (It's in Y),61,ignorance,False,False,False,False
Bare anaphoric (It's in Y),61,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),62,false_belief,False,False,False,False
Bare anaphoric (It's in Y),62,ignorance,False,False,False,False
Bare anaphoric (It's in Y),62,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),63,false_belief,False,False,False,False
Bare anaphoric (It's in Y),63,ignorance,False,False,False,False
Bare anaphoric (It's in Y),63,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),64,false_belief,False,False,False,False
Bare anaphoric (It's in Y),64,ignorance,False,False,False,False
Bare anaphoric (It's in Y),64,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),65,false_belief,False,False,False,False
Bare anaphoric (It's in Y),65,ignorance,False,False,False,False
Bare anaphoric (It's in Y),65,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),66,false_belief,False,False,False,False
Bare anaphoric (It's in Y),66,ignorance,False,False,False,False
Bare anaphoric (It's in Y),66,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),67,false_belief,False,False,False,False
Bare anaphoric (It's in Y),67,ignorance,False,False,False,False
Bare anaphoric (It's in Y),67,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),68,false_belief,False,False,False,False
Bare anaphoric (It's in Y),68,ignorance,False,False,False,False
Bare anaphoric (It's in Y),68,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),69,false_belief,False,False,False,False
Bare anaphoric (It's in Y),69,ignorance,False,False,False,False
Bare anaphoric (It's in Y),69,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),6,false_belief,False,False,False,False
Bare anaphoric (It's in Y),6,ignorance,False,False,False,False
Bare anaphoric (It's in Y),6,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),70,false_belief,False,False,False,False
Bare anaphoric (It's in Y),70,ignorance,False,False,False,False
Bare anaphoric (It's in Y),70,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),71,false_belief,False,False,False,False
Bare anaphoric (It's in Y),71,ignorance,False,False,False,False
Bare anaphoric (It's in Y),71,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),72,false_belief,False,False,False,False
Bare anaphoric (It's in Y),72,ignorance,False,False,False,False
Bare anaphoric (It's in Y),72,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),73,false_belief,False,False,False,False
Bare anaphoric (It's in Y),73,ignorance,False,False,False,False
Bare anaphoric (It's in Y),73,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),74,false_belief,False,False,False,False
Bare anaphoric (It's in Y),74,ignorance,False,False,False,False
Bare anaphoric (It's in Y),74,shared_truth,False,False,False,False
Bare anaphoric (It's in Y),75,false_belief,False,False,False,False
Bare anaphoric (It's in Y),75,ignorance,False,False,False,False
